degree_name,degree_employ_value,group
선교과  ,67.05,사회계열
선교학과  ,60.35,인문계열
섬유공학과  ,63.45,공학계열
섬유디자인과  ,66.9,공학계열
섬유디자인학과  ,67.2,예체능계열
성악과  ,42.8,예체능계열
세라믹공학과  ,72.2,공학계열
세무학과  ,63.85,사회계열
세무회계과  ,64.75,사회계열
소방방재학과  ,70.8,공학계열
소방안전관리과  ,75.35,의약계열
소프트웨어공학과  ,70.1,공학계열
수의학과  ,75.5,자연계열
수학과  ,59.95,자연계열
수학교육과  ,38.35,교육계열
수해양산업교육과  ,38.35,교육계열
스마트폰과  ,68.15,공학계열
스토리텔링학과  ,54.4,인문계열
스페인어학과  ,59.7,인문계열
스포츠마케팅학과  ,66.35,사회계열
스포츠외교과  ,60.85,예체능계열
스포츠의학과  ,66.05,예체능계열
스포츠재활과  ,60.85,예체능계열
스포츠지도과  ,60.85,예체능계열
스포츠지도학과  ,66.05,예체능계열
시각디자인과  ,61.15,예체능계열
시각디자인학과  ,65.2,예체능계열
시스템경영공학과  ,70.4,공학계열
시스템공학과  ,70.8,공학계열
식물자원학과  ,62.9,자연계열
식품가공과  ,62.65,자연계열
식품공학과  ,67.15,자연계열
식품과학과  ,62.65,자연계열
식품영양과  ,62.65,자연계열
식품영양학과  ,67.15,자연계열
식품조리과  ,62.65,자연계열
신문방송학과  ,64.25,예체능계열
신발패션산업과  ,72.5,예체능계열
신소재공학과  ,66.8,공학계열
신소재응용과  ,75.45,공학계열
신재생에너지과  ,68.5,공학계열
신학과  ,60.35,인문계열
실내디자인과  ,66.9,예체능계열
실내디자인학과  ,67.2,예체능계열
실용미술과  ,80.9,예체능계열
실용음악학과  ,53.5,예체능계열
심리학과  ,53.1,인문계열
아동교육과  ,82.65,교육계열
아동복지과  ,67.05,사회계열
아동복지학과  ,61.55,사회계열
아동학과  ,61.55,사회계열
아랍어학과  ,65.95,인문계열
아시아어학과  ,65.95,인문계열
아프리카어학과  ,57.95,인문계열
안경광학과  ,68.5,공학계열
안전공학과  ,70.8,공학계열
애니메이션과  ,57.6,예체능계열
애완동물과  ,64.15,자연계열
약학부  ,88.5,의약계열
언론홍보학과  ,64.95,사회계열
언어과학과  ,56.35,인문계열
언어재활과  ,83,의약계열
언어치료학과  ,59.45,교육계열
에너지자원공학과  ,67.2,공학계열
역사교육과  ,35.35,교육계열
연극영화과  ,57.35,예체능계열
연극영화학과  ,63.9,예체능계열
연극학과  ,63.9,예체능계열
연예매니지먼트과  ,62.6,예체능계열
연예연기과  ,57.35,예체능계열
영상멀티미디어과  ,62.6,예체능계열
영상미술학과  ,60.45,예체능계열
영상제작과  ,62.6,예체능계열
영상콘텐츠과  ,62.6,예체능계열
영어과  ,55.1,인문계열
영어교육과  ,36.45,교육계열
영어영문학과  ,60.6,인문계열
영어학과  ,60.6,인문계열
영화과  ,57.35,예체능계열
예술치료과  ,83,의약계열
예술치료학과  ,80.15,의약계열
예술학과  ,64.8,예체능계열
외국어학부  ,60.05,인문계열
외식산업과  ,65.8,사회계열
외식산업학과  ,66.35,사회계열
외식조리과  ,62.65,자연계열
우주과학과  ,55.95,자연계열
원예과  ,68.65,자연계열
원예학과  ,58.6,자연계열
원자력공학과  ,67.2,공학계열
웹그래픽디자인과  ,66.9,예체능계열
유럽·기타어과  ,62.05,인문계열
유럽학과  ,60.35,인문계열
유아교육과  ,82.65,교육계열
유아교육학과  ,76.75,교육계열
유아특수재활과  ,94.45,교육계열
유전공학과  ,54.6,자연계열
유통경영과  ,65.8,사회계열
유통학과  ,63.85,사회계열
윤리교육과  ,36.3,교육계열
음악과  ,53.5,예체능계열
음악교육과  ,50.15,교육계열
음악학과  ,48.45,예체능계열
음향제작과  ,63.2,예체능계열
응급구조과  ,75.35,의약계열
응급구조학과  ,71.45,의약계열
응용소프트웨어공학과  ,70.1,공학계열
의료보장구과  ,66.75,의약계열
의료정보공학과  ,71.45,공학계열
의료정보시스템과  ,67.95,의약계열
의류학과  ,66.85,자연계열
의무행정과  ,67.95,의약계열
의상디자인과  ,65.5,예체능계열
의상디자인학과  ,59.95,예체능계열
의상학과  ,66.85,예체능계열
의예과  ,88.05,의약계열
의용공학과  ,71.45,의약계열
이벤트과  ,65.8,예체능계열
이탈리아어학과  ,57.95,인문계열
